original_text,normalized_text
يعني كل متر مربع من الجناح يقدر يشيلّنا وزن أد إيه،,يعني كل متر مربع من الجناح يقدر يشيلّنا وزن اد ايه،
كل ما الرقم دا يقلّ، كل ما الطيارة تقدر تراوغ بمرونة وسهولة أكتر،,كل ما الرقم دا يقلّ، كل ما الطياره تقدر تراوغ بمرونه وسهوله اكتر،
الـF-35 تحميل الجناح بتاعها حوالي 500 كيلو على المتر المربّع.,ال -35 تحميل الجناح بتاعها حوالي 500 كيلو علي المتر المربّع.
طبعًا، انت ما عندكش أي Reference،,طبعًا، انت ما عندكش اي ،
"فخلّيني أرقعك بالـ""رافال"" الفرنسية،","فخلّيني ارقعك بال""رافال"" الفرنسيه،"
"والـ""سوخوي 35"" الروسية،","وال""سوخوي 35"" الروسيه،"
دُول تحميلهم حوالي 300 كيلو بس،,دُول تحميلهم حوالي 300 كيلو بس،
تقريبًا، نُص الـF-35.,تقريبًا، نُص ال -35.
"""إيه دا يا (أبو حميد)؟! دا كدا لا سرعة ولا مرونة!","""ايه دا يا ابو حميد دا كدا لا سرعه ولا مرونه!"
دي بتحارب بالدعاء يا (أبو حميد)؟!,دي بتحارب بالدعاء يا ابو حميد
الله! وليه الناس ملهوفة عليها كداهو؟!,الله! وليه الناس ملهوفه عليها كداهو
"اكمن بُقها لباب السما يعني؟! الله!""","اكمن بُقها لباب السما يعني الله!"""
عزيزي المشاهد الجميل، قبل ما تفكر إن الـF-35 طيارة بركة،,عزيزي المشاهد الجميل، قبل ما تفكر ان ال -35 طياره بركه،
عايزك لا تتسرع.,عايزك لا تتسرع.
خُد بالك، يا عزيزي، إن هناك عنصر تالت غير السرعة والمرونة,خُد بالك، يا عزيزي، ان هناك عنصر تالت غير السرعه والمرونه
في تقييم الطيارات الحربية،,في تقييم الطيارات الحربيه،
هذا العنصر هو عنصر التسليح،,هذا العنصر هو عنصر التسليح،
على مستوى التسليح، الـF-35 عندها القدرة إنها تشيل 4 صواريخ جو جو،,علي مستوي التسليح، ال -35 عندها القدره انها تشيل 4 صواريخ جو جو،
الرقم دا، يا عزيزي، ممكن يزيد ويوصل لـ10.,الرقم دا، يا عزيزي، ممكن يزيد ويوصل ل10.
أما مدفع الطيارة، فبيقدر يضرب رصاص 25 مللي.,اما مدفع الطياره، فبيقدر يضرب رصاص 25 مللي.
"""الله أكبر يا (أبو حميد)!","""الله اكبر يا ابو حميد !"
"يعني هو دا السبب أكيد اللي بيخلّيها طيارة متميزة، التسليح بتاعها.""","يعني هو دا السبب اكيد اللي بيخلّيها طياره متميزه، التسليح بتاعها."""
خلّيني، يا عزيزي، أرجع أفاجئك وأقولّك خلّينا نشوف المنافسين،,خلّيني، يا عزيزي، ارجع افاجيك واقولّك خلّينا نشوف المنافسين،
تعالى، يا عزيزي، نبص على المنافسين في السوق،,تعالي، يا عزيزي، نبص علي المنافسين في السوق،
الروسي، يا عزيزي، منه يقدر يشيل من 10 صواريخ لـ14 صاروخ،,الروسي، يا عزيزي، منه يقدر يشيل من 10 صواريخ ل14 صاروخ،
والمدفع بيضرب عيار 30، مش 25،,والمدفع بيضرب عيار 30، مش 25،
دا غير أصلًا، لسة قايلّك إن الروسي أسرع وبيراوغ أحسن.,دا غير اصلًا، لسه قايلّك ان الروسي اسرع وبيراوغ احسن.
"""يا نهار أسود يا (أبو حميد)! كل دا مش موجود في الـF-35،","""يا نهار اسود يا ابو حميد ! كل دا مش موجود في ال -35،"
والدول بتتهافت عشان تشتريها؟!,والدول بتتهافت عشان تشتريها
هو إيه بقى يا (أبو حميد) يعني؟! معمول عليها خصم؟!,هو ايه بقي يا ابو حميد يعني معمول عليها خصم
سعرها أفضل، فبنجيبهم؟!,سعرها افضل، فبنجيبهم
"الاتنين F-35 بسعر واحدة؟ قولّي! ليه الناس بتشتريها؟!""","الاتنين -35 بسعر واحده؟ قولّي! ليه الناس بتشتريها """
خلّيني أقولّك، يا عزيزي، إن تكلفة صناعتها وتكلفة صيانتها أغلى من الباقيين،,خلّيني اقولّك، يا عزيزي، ان تكلفه صناعتها وتكلفه صيانتها اغلي من الباقيين،
وبالرغم من كل اللي قُلتهولك دا،,وبالرغم من كل اللي قُلتهولك دا،
"إلا إن أغلب دوَل حلف الـ""ناتو"" بيشتروا الـF-35،","الا ان اغلب دوَل حلف ال""ناتو"" بيشتروا ال -35،"
"واللي مستحيل إنها تتباع لـ""روسيا"" و""إيران"" و""الصين""،","واللي مستحيل انها تتباع ل""روسيا"" و""ايران"" و""الصين""،"
"أي دولة ما لهاش علاقة قوية مع ""الولايات المتحدة الأمريكية""،","اي دوله ما لهاش علاقه قويه مع ""الولايات المتحده الامريكيه""،"
ما بتشتريش، ما تقدرش تشتري.,ما بتشتريش، ما تقدرش تشتري.
"وانت حتى، يا عزيزي، لو كنت دولة قدرت تشتري من ""الولايات المتحدة الأمريكية""،","وانت حتي، يا عزيزي، لو كنت دوله قدرت تشتري من ""الولايات المتحده الامريكيه""،"
"ما بتاخدش اللي مع ""الولايات المتحدة الأمريكية""،","ما بتاخدش اللي مع ""الولايات المتحده الامريكيه""،"
بيطلّعولك الـHigh Copy، اللي بيتباع في المترو دا،,بيطلّعولك ال ، اللي بيتباع في المترو دا،
نسخة دايمًا أقل حاجة بسيطة، لأن انت ممكن تتقلب وتحوّل،,نسخه دايمًا اقل حاجه بسيطه، لان انت ممكن تتقلب وتحوّل،
"فلازم يبقى ""أمريكا"" عندها Advantage عليك.","فلازم يبقي ""امريكا"" عندها عليك."
"""(أبو حميد)، ثانية واحدة،",""" ابو حميد ، ثانيه واحده،"
أنا حاسس إن انت اخترت البطل الغير موفق في الحلقة!,انا حاسس ان انت اخترت البطل الغير موفق في الحلقه!
أنا حاسس إن الطيارة الروسي كانت ممكن تعمل حلقة ممتازة،,انا حاسس ان الطياره الروسي كانت ممكن تعمل حلقه ممتازه،
إيه اللي خلّاك تختار الـF-35؟!,ايه اللي خلّاك تختار ال -35
هل يا (أبو حميد) (لوكهيد مارتن) مولوك؟!,هل يا ابو حميد لوكهيد مارتن مولوك
مش هينفع أقول، يا عزيزي!,مش هينفع اقول، يا عزيزي!
أنا ما بأخافش من حد!,انا ما باخافش من حد!
"خلاص، أنا هأشوط ""بلينتي""؟!","خلاص، انا هاشوط ""بلينتي"""
الحقيقة، يا عزيزي، إن أنا اخترت بطل مثالي لهذه الحلقة،,الحقيقه، يا عزيزي، ان انا اخترت بطل مثالي لهذه الحلقه،
لأن اللي حصل إن اعتبارات الحرب نفسها اتغيرت،,لان اللي حصل ان اعتبارات الحرب نفسها اتغيرت،
تغير خلّى السرعة والمرونة وكل المواصفات، اللي حكيتلك عنها دي،,تغير خلّي السرعه والمرونه وكل المواصفات، اللي حكيتلك عنها دي،
لم تعُد أهم شيء في الطيارة،,لم تعُد اهم شيء في الطياره،
كل دا بدأ بنظرية.,كل دا بدا بنظريه.
بعد نهاية الحرب العالمية الأولى،,بعد نهايه الحرب العالميه الاولي،
"الطيار الإيطالي ""جوليو دويت"" نشر نظرية بعنوان Command of The Air،","الطيار الايطالي ""جوليو دويت"" نشر نظريه بعنوان ،"
"كابتن ""جوليو"" لاحظ التطور الضخم في سلاح الجو وقت الحرب،","كابتن ""جوليو"" لاحظ التطور الضخم في سلاح الجو وقت الحرب،"
"وقال: ""يا جماعة، بدل ما نضيّع وقتنا في مبارزات استعراضية بين الطيارات،","وقال: ""يا جماعه، بدل ما نضيّع وقتنا في مبارزات استعراضيه بين الطيارات،"
لأ، احنا نخلّي الطيارات تعدّي من فوق كل حاجة،,لا، احنا نخلّي الطيارات تعدّي من فوق كل حاجه،
تـSkip بقى المدفعية والمشاة والدبابات، وتوصل لقلب العدو،,ت بقي المدفعيه والمشاه والدبابات، وتوصل لقلب العدو،
ومش هتهدم البنية التحتية،,ومش هتهدم البنيه التحتيه،
"لأ، هتهدم البنية المعنوية.""","لا، هتهدم البنيه المعنويه."""
"""(أبو حميد)، البنية المعنوية دي مكلفة؟!",""" ابو حميد ، البنيه المعنويه دي مكلفه"
